,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Revenue,OperatingSystems_1,OperatingSystems_2,OperatingSystems_3,OperatingSystems_4,OperatingSystems_5,OperatingSystems_6,OperatingSystems_7,OperatingSystems_8,Browser_1,Browser_2,Browser_3,Browser_4,Browser_5,Browser_6,Browser_7,Browser_8,Browser_9,Browser_10,Browser_11,Browser_12,Browser_13,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,TrafficType_1,TrafficType_2,TrafficType_3,TrafficType_4,TrafficType_5,TrafficType_6,TrafficType_7,TrafficType_8,TrafficType_9,TrafficType_10,TrafficType_11,TrafficType_12,TrafficType_13,TrafficType_14,TrafficType_15,TrafficType_16,TrafficType_17,TrafficType_18,TrafficType_19,TrafficType_20,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor,Weekend_False,Weekend_True,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep
Administrative,1.0,0.6015833421250465,0.37685042930728413,0.2558481402326161,0.4311193396245173,0.37393901295965976,-0.22356263038423888,-0.3164829975272462,0.09898958539969928,-0.09477759754424928,0.1389170941506559,-0.013718299019956137,0.01652678214180663,0.0008885673764155328,-0.007291750159339718,-0.010950522307705672,-0.0031050101783390125,0.009013995470074023,-0.01832990403687225,-0.019785694576461274,0.04665511097235232,-0.027128187810614726,-0.025142791535371682,-0.0032210081895629856,-0.014249851781216906,0.009142154976889506,-0.028988262944802386,-0.0008545195489920189,-0.00029332332343076444,-0.010950522307705672,-0.0035609256688902626,-0.011910279857990595,-0.010498611959829844,0.008524356366324778,0.01939525996216567,-0.0012047601604975808,0.007205407545589863,-0.0206285473724487,0.0030599571945568783,0.009568533406566375,-0.01617646658611829,-0.06072066866980434,0.11791294380002663,-0.0690107234250645,0.0031312869509989337,0.051672631703445764,-0.016372570919016484,0.010044600823974036,0.028639904091244166,-0.006385279979124257,0.0011946658311655072,-0.02384748934626898,-0.00627717834418867,-0.04030634612900777,0.010459852094577053,-0.01584746668915557,0.003216349885146624,-0.006277178344188765,-0.001845504160884879,-0.010105773590091946,-0.011150167613988363,0.028448675316674242,-0.021184394490473043,-0.022883818977955835,-0.026416750253924377,0.02641675025392423,0.04715887743026824,-0.014443018477087134,-0.06564863886606813,0.006220997582187712,-0.0019023875871681448,-0.055035619279187487,-0.06458698056702983,0.051574411555983815,0.09126589878750052,0.05960651993040102
Administrative_Duration,0.6015833421250465,1.0,0.30270970897579613,0.23803078935000452,0.2890866214062228,0.3554219535016437,-0.14417040950712928,-0.20579775727446142,0.06760848087035075,-0.07330372492126196,0.09358671905703449,0.014409894802454463,-0.025389396155043122,0.029231147416961117,-0.02232160253804402,-0.007022791347433805,-0.002126631438200875,0.009994605629101243,-0.009291719264408877,0.00020310009214904984,0.017828140369211994,-0.008754826564396597,-0.016951965717219106,-0.010181745669776086,0.0010708523042239496,-0.00984762719493804,-0.011476503489921795,0.0157520141551865,-0.000500449998268271,-0.007022791347433805,0.003939013497670294,-0.0028329088362052477,-0.0052693253401732395,0.010926352357022016,0.006170697370027296,0.004097917319718071,0.006790850380984579,-0.01828046188011238,-0.0029694894178304903,0.009468509693666785,-0.009203132398308481,-0.04252637348942525,0.09692718836678099,-0.06203509407084471,-0.00968076508091946,0.02162015735002874,-0.01211210340086946,0.0014590630262134006,0.021859799842287177,-0.004307716450785751,-0.004728741219805388,-0.01480499942568676,-0.004117504935983726,-0.018518855643769844,0.03608200180952486,-0.0033524647258586088,0.018983063782446387,-0.004117504935983488,-0.0013987223698926291,-0.008543751703611276,-0.000682518851606639,0.025043304905205274,-0.008541760066814393,-0.022524527371029245,-0.014990141913818908,0.014990141913818958,0.027950493483565153,-0.00499005431864914,-0.04452394483135256,-0.0020957728219235137,-0.018974328839807635,-0.023198135823343305,-0.039317824772946944,0.032431579877745816,0.055100803603898164,0.03131335889973859
Informational,0.37685042930728413,0.30270970897579613,1.0,0.6189548617813868,0.3741642906577367,0.38750530625986745,-0.11611361638719535,-0.16366606078450502,0.04863169195373808,-0.04821925398952437,0.09520034257205724,-0.0041922900208323476,0.0006330020706943148,0.018178001614226877,-0.023057875436606742,-0.005852798846967991,0.0007035898728245607,0.0012734013485421558,-0.018232712981132757,-0.006355198112989854,0.04246555802230464,-0.01728618267909487,-0.02766076004799542,-0.017450040270969688,-0.008456626852413853,-0.0016999005196951268,-0.030056397744786318,-0.0035707139416306885,-0.0056364720120095765,-0.005852798846967991,-0.006809446292652912,-0.015214823591622626,0.02620462297819172,-0.014584002728650205,0.002889543580857961,0.0019047868145097642,-0.008916915458147679,0.0006791362351088369,-0.011732652435184813,-0.007813352080168116,-0.023811450679453935,-0.05012085169973506,0.12656402988526477,-0.07154665772914336,-0.0012060540993046362,-0.003523495999161771,-0.007740342073359482,0.0009626454797448888,-0.0006694173828108373,-0.007835988827462934,0.0035394464592626474,-0.014757762843098906,-0.00357071394163068,-0.026281626217037002,0.042212066949483706,-0.00361225639050566,-0.006185159662243529,-0.0035707139416310024,-0.004566313169799144,-0.006127525438556986,-0.019662841877541814,-0.0534287503481873,-0.021456964588627187,0.057398999620155905,-0.03578472510756732,0.03578472510756732,0.005881539945373911,0.0028219179443806377,-0.04037239012172172,0.0018955988660196413,0.007175540071445136,-0.027956567116427345,-0.038421577795569144,0.0637539151157776,-0.0026188374798136764,0.009692031222933785
Informational_Duration,0.2558481402326161,0.23803078935000452,0.6189548617813868,1.0,0.2800462678591809,0.34736357744648133,-0.07406660989572517,-0.10527568334786754,0.03086087371677237,-0.030576549486371268,0.07034450234597472,-0.013471613566479388,0.02290094680540415,-0.00406698938862879,-0.016602776516416305,-0.005064665204800475,0.0008259866976464073,-0.00349826587418895,-0.011555969206757555,-0.018090327785508745,0.035988520777394874,-0.009419688009966232,-0.017115569999458798,-0.011341098485395433,0.0037116582875823707,0.00632031341008508,-0.022934510821953268,-0.002205865120665016,-0.00013727818634349964,-0.005064665204800475,-0.0053485770997577856,-0.014907004550828324,0.015874577379781898,0.0034626946315340387,0.002514600387449038,0.004300341233380327,-0.0036298958180262988,-0.0085715576361902,-0.014421523019831982,-0.0022291476691988685,-0.02219549713645914,-0.039116584151989355,0.09981805764117198,-0.04803449817928821,-0.008446126762743079,-0.015971703903103058,-0.007477368653166865,-0.0017125436931960595,0.008160728907521776,0.0004120196910655814,-0.005626499842841103,-0.014580624777383474,-0.00220586512066502,-0.02053297953423927,0.03334223899844222,-0.011428214888856076,-0.0038209803943148094,-0.0022058651206648752,-0.0015935770625961033,0.024024074285815104,-0.01105020174892856,-0.04319955353261942,-0.013489220302644205,0.045500796121198867,-0.024078486249595122,0.02407848624959511,0.0014123767328604068,0.010314276482821492,-0.028059917472133208,0.014957546980405512,-0.015406946961487455,-0.011544570566068647,-0.03181062122120924,0.03689909660346661,0.00643353379134577,0.0017444667843547204
ProductRelated,0.4311193396245173,0.2890866214062228,0.3741642906577367,0.2800462678591809,1.0,0.8609268361763763,-0.20457763335076262,-0.29252628311357676,0.056281794108844097,-0.023958174724001854,0.15853798428086024,-0.0931917344205947,0.12370143659149904,-0.06055084708352592,0.02030466330240603,-0.009706707937109415,-0.009154072327155741,-0.006286948391481406,-0.030279112726856166,-0.08228097331120379,0.09291619109251618,-0.031908824011325464,-0.00726137452131764,-0.001772999320247607,-0.004998036956933902,-0.008575146774469836,-0.03243293740015287,-0.004400701164700532,0.002950151640793069,-0.009706707937109415,-0.009308953811157051,-0.02670912102460367,0.037019556708991715,-0.009338016092419183,0.003919083715141914,-0.011153356766756878,-0.007692124701814895,-0.023134174344833277,-0.0015659787352405648,-0.02148832931475856,-0.011709309544635362,0.0020936166117093177,0.09802323602263846,-0.05953691674407241,-0.022208836909588893,-0.045696280119534326,-0.009227710586651519,-0.0032793755140876433,-0.021334155579707973,-0.022338827142355088,0.005065077638047256,-0.020963710008032287,-0.00581822658007878,0.006897112847299875,0.03492266509919113,-0.019502881038648646,-0.005752056160187333,-0.005615722949310367,-0.011422955483409974,0.006613366632290712,-0.03327815937818185,-0.12272736743147404,-0.03608302407174901,0.1287378094511904,-0.0160919642344704,0.016091964234470398,0.027999377887388686,-0.03390895112761306,-0.05686313294608787,0.020034131024066208,0.015072424146151429,-0.11467175428844463,-0.07222034290657828,0.182339425257164,0.00890700756123365,0.005996551042107967
ProductRelated_Duration,0.37393901295965976,0.3554219535016437,0.38750530625986745,0.34736357744648133,0.8609268361763763,1.0,-0.18454111529429224,-0.25198409740610433,0.05282306295013965,-0.0363798450973802,0.15237261055699797,-0.08822305123043991,0.12158195786297411,-0.05999717571507009,0.00918815115622204,-0.004293297870389356,-0.0037996231308723874,-0.003542070420796543,-0.02324475942504277,-0.07693688322327179,0.08281224654400936,-0.02331177173024251,-0.004647655321670726,-0.0020851689866994054,-0.00017578682989165723,-0.008227668929318123,-0.031380483229987065,-0.00012070080361894024,0.0015508641906370364,-0.004293297870389356,-0.007366239727071347,-0.018252824884910812,0.03383048242277321,-0.002047825844896663,-0.0016295093574085703,-0.013808871951012724,-0.00399484400010234,-0.02202997428606585,-0.007003985145864353,-0.009877881877435579,-0.008020435006047023,0.010226460262508813,0.09377893758428975,-0.07051402614809064,-0.033136001823112896,-0.03469931858021438,-0.005487187575162752,-0.004762127938468805,-0.009746520957009834,-0.01994883990655265,0.006464428657492,-0.02208736465588375,-0.005552331571269396,0.009495089851084652,0.05121201113271207,-0.01916515489450416,-0.004821946533062541,-0.005340544564472449,-0.01029556486508317,0.006147990538366986,-0.03047052998216142,-0.11644665378233787,-0.0271833450350555,0.12048864299064396,-0.007310613811572927,0.0073106138115729405,0.007767027534542268,-0.01756304141072041,-0.04655008916455265,0.0022760940506081607,0.0015057149976751983,-0.08549080154540524,-0.0681333045888245,0.16695137373376848,-0.008773032529791122,0.005950496648398142
BounceRates,-0.22356263038423888,-0.14417040950712928,-0.11611361638719535,-0.07406660989572517,-0.20457763335076262,-0.18454111529429224,1.0,0.9130043961815343,-0.11938602629479111,0.07270225308254728,-0.15067291192604748,0.051866031748994276,-0.12452875512141592,0.11541863252042169,-0.040953608215851235,-0.004139400855390984,0.011962315243118358,0.008719462608527918,0.019241676790734942,0.04101765044117896,-0.023001124406791345,0.029458183778791395,-0.02617076929241474,-0.01042669382089838,-0.009150084748878936,-0.0011840010562643012,0.019383921081410776,-0.00040703740357391486,-0.017372599393220025,-0.004139400855390984,0.002154118520161235,0.01771492100901896,-0.001666990645918022,0.004565629420291824,0.00287295005557468,0.006613548605259936,-0.004995723162352538,0.008340053955033868,-0.009543119221877488,-0.011692842143560062,-0.0020592883516073386,0.10432208262267602,-0.1931683509084666,0.10249934383717786,-0.03768264426582977,-0.03856643384535778,-0.0003504821477535553,-0.01690675633895597,-0.037302387962538694,0.005003705223847464,-0.022310109275283565,5.636075759386969e-05,-0.004121932274751392,0.13799036276831253,-0.013238336265487892,0.054733603156755614,-0.007139975269100449,0.005165304903191428,0.006426459888199498,0.0027277458882632916,0.014076624086803076,-0.13935117420557105,0.0281121061422601,0.12990815616337598,0.046513996531182836,-0.046513996531182836,-0.015662112508173225,-0.016998822598729677,0.06303030771046968,0.009766255107907202,0.041178073672080755,-0.00408969430898908,0.05906249420110181,-0.034281455883752185,-0.04604446957132201,-0.04008076866530411
ExitRates,-0.3164829975272462,-0.20579775727446142,-0.16366606078450502,-0.10527568334786754,-0.29252628311357676,-0.25198409740610433,0.9130043961815343,1.0,-0.17449831000176516,0.10224180209856229,-0.20707108205525215,0.041993104687745496,-0.09306228535900993,0.08499459404067014,-0.03566562167908925,0.0003825654798831393,0.006872047546283854,0.011979184915834181,0.014952720970259521,0.03779078548961405,-0.031814962691920544,0.029521315862762153,-0.017276748623479974,-0.0028813053691804412,0.0008423725603161317,0.0014269049636781196,0.020570604548065502,0.0012838260929467053,-0.012474208306407312,0.0003825654798831393,0.004259060993208988,0.014175979703862788,0.0008915707334800334,-0.00015802824369176127,0.008267547972389688,0.006823611303873015,-0.0077951209733217374,0.005378653597558358,-0.017253561371513487,-0.011931490090131417,0.002935802731990804,0.1295068525147756,-0.23405650395384744,0.12913256996494565,-0.04385883154585628,-0.040452206826046486,0.009302918732675226,-0.021431029972076257,-0.04676404243027946,0.002759274201531613,-0.020676672317861754,0.0020016625043013303,0.004372678021304534,0.14154189594597125,-0.012747289911731465,0.05341289517037717,-0.008049740179638826,0.005917103892816848,0.0058525790150128175,0.005114452288635239,0.011766111081447244,-0.18389843939648604,0.0347633733101877,0.17198667756173402,0.06258704801055155,-0.06258704801055158,-0.020988282359298113,-0.014700185364084099,0.07870866416302483,0.008852323237445536,0.048276172876054575,0.013438977599461449,0.07281541800540567,-0.05680977468903083,-0.0624648643300123,-0.050955965766485894
PageValues,0.09898958539969928,0.06760848087035075,0.04863169195373808,0.03086087371677237,0.056281794108844097,0.05282306295013965,-0.11938602629479111,-0.17449831000176516,1.0,-0.06354127178532677,0.4925692952510324,-0.01926020822356066,0.05213721534905836,-0.06762591859332874,0.024453854504033794,-0.0018116347099731997,0.005868385490928589,-0.0075595098783228145,0.056596028559543876,-0.010301200843484855,-0.012537332192861763,-0.01650655135329252,0.011323368314473035,0.022347184346077072,-0.003764661002183866,-0.008299017710576928,-0.00372185181197283,-0.0028565308375277025,0.0073257878399737965,-0.0018116347099731997,-0.005781798439212568,0.07739007748581006,0.0005522885974537291,0.00029747055371815746,-0.014439349122456669,-0.0014974921465877816,0.02945685292198398,-0.015453412296273556,0.0051152562478669,-0.016781417017772318,0.03419350857883397,-0.06529964088325624,0.08868600545727753,-0.06288591677917633,0.019146692396175967,0.01441175907358575,-0.008462796410868164,0.023591164453239864,0.0402055024746345,-0.006519937729168178,0.0033434394280553743,-0.006318928744516179,-0.002856530837527714,-0.048033079749676404,-0.00166773741257511,-0.01752611719616192,-0.0049480578951497075,-0.002856530837527266,-0.009036442494438685,-0.004786282261410897,0.0635677493438741,0.10495189292837724,0.05520362963899952,-0.11582497700767984,-0.012001639171353436,0.012001639171353428,0.0005015268878772511,0.02051820138043576,-0.033136647800452335,-0.01831671097093153,-0.020804152153328464,-0.04445116784379311,-0.015098598696750318,0.0378560002952817,0.03204552360330584,0.01743893712127425
SpecialDay,-0.09477759754424928,-0.07330372492126196,-0.04821925398952437,-0.030576549486371268,-0.023958174724001854,-0.0363798450973802,0.07270225308254728,0.10224180209856229,-0.06354127178532677,1.0,-0.08230459817951825,-0.0312418954296573,0.011705029669463697,0.02620887362014388,-0.015973108371650356,-0.006814078296338164,0.023210626788097117,0.013180538990173957,-0.02173287824398883,-0.023902224804364044,0.015664982949136673,0.014865742627447437,-0.005181304672570833,0.004514095532232011,0.021818087973022073,-0.00654526403500165,-0.001930503236296873,-0.002781271674535645,0.007808618547010501,-0.006814078296338164,-0.003069089106220504,-0.021775476809778645,0.002323958509673976,0.007357081671407827,0.008430226625455495,-0.0027798986720850264,0.002742298961518302,-0.0073433746251363044,0.0072073514431679605,-0.005441844128389791,-0.02575429139632276,-0.05145060879860472,-0.09195131976219342,0.06716196812580898,0.09930576692624103,-0.009567092270234986,0.06505423613736447,-0.003277533094676637,-0.05223951623051383,-0.018054745997637463,-0.06010427676660043,0.004735995820929089,-0.0027812716745356544,0.08949457517214236,0.005043656983658378,0.0034261206772284924,-0.004817694626978128,0.042496097941299195,0.0026601869997144013,0.02808370238978366,-0.02323371721663446,-0.0827400211091072,-0.025729859056221663,0.08712262135370674,0.016767155269538984,-0.01676715526953899,-0.05891590544358154,-0.12463474434304979,0.10659641602408043,-0.058845360829594316,-0.04775889517587099,-0.13209498099941686,0.46480916793669097,-0.17503938884087628,-0.06666569841895673,-0.05996551558090232
