,PageValues,ExitRates,ProductRelated,Administrative,VisitorType,Informational,SpecialDay,Month,Revenue
0,0.0,0.2,1,0,Returning_Visitor,0,0.0,Feb,False
1,0.0,0.1,2,0,Returning_Visitor,0,0.0,Feb,False
2,0.0,0.2,1,0,Returning_Visitor,0,0.0,Feb,False
3,0.0,0.14,2,0,Returning_Visitor,0,0.0,Feb,False
4,0.0,0.05,10,0,Returning_Visitor,0,0.0,Feb,False
5,0.0,0.024561404,19,0,Returning_Visitor,0,0.0,Feb,False
6,0.0,0.2,1,0,Returning_Visitor,0,0.4,Feb,False
7,0.0,0.2,0,1,Returning_Visitor,0,0.0,Feb,False
8,0.0,0.1,2,0,Returning_Visitor,0,0.8,Feb,False
9,0.0,0.022222222000000003,3,0,Returning_Visitor,0,0.4,Feb,False
10,0.0,0.066666667,3,0,Returning_Visitor,0,0.0,Feb,False
11,0.0,0.025833332999999997,16,0,Returning_Visitor,0,0.4,Feb,False
12,0.0,0.028571429,7,0,Returning_Visitor,0,0.0,Feb,False
13,0.0,0.066666667,6,0,Returning_Visitor,0,0.0,Feb,False
14,0.0,0.1,2,0,Returning_Visitor,0,0.0,Feb,False
15,0.0,0.016312636000000002,23,2,Returning_Visitor,0,0.0,Feb,False
16,0.0,0.2,1,0,Returning_Visitor,0,0.0,Feb,False
17,0.0,0.007692308,13,0,Returning_Visitor,0,0.0,Feb,False
18,0.0,0.1,2,0,Returning_Visitor,0,0.0,Feb,False
19,0.0,0.01,20,0,Returning_Visitor,0,0.0,Feb,False
20,0.0,0.008333333,8,0,Returning_Visitor,0,1.0,Feb,False
21,0.0,0.2,2,0,Returning_Visitor,0,0.0,Feb,False
22,0.0,0.033333333,3,0,Returning_Visitor,0,0.0,Feb,False
23,0.0,0.1,2,0,Returning_Visitor,0,0.8,Feb,False
24,0.0,0.2,1,0,Returning_Visitor,0,0.0,Feb,False
25,0.0,0.04,5,0,Returning_Visitor,0,0.0,Feb,False
26,0.0,0.00952381,32,4,Returning_Visitor,0,0.0,Feb,False
27,0.0,0.1,4,0,Returning_Visitor,0,0.0,Feb,False
28,0.0,0.05,4,0,Returning_Visitor,0,0.2,Feb,False
29,54.17976426,0.050821255999999995,45,1,Returning_Visitor,1,0.4,Feb,False
30,0.0,0.1,2,0,Returning_Visitor,0,0.0,Feb,False
31,0.0,0.066666667,3,0,Returning_Visitor,0,0.0,Feb,False
32,0.0,0.025,8,0,Returning_Visitor,0,0.0,Feb,False
33,0.0,0.08,10,0,Returning_Visitor,0,0.0,Feb,False
34,0.0,0.028571429,14,0,Returning_Visitor,0,0.0,Feb,False
35,0.0,0.020352564,52,0,Returning_Visitor,0,0.0,Feb,False
36,0.0,0.05625,8,0,Returning_Visitor,0,0.0,Feb,False
37,0.0,0.028571429,5,2,Returning_Visitor,0,0.8,Feb,False
38,0.0,0.071428571,7,0,Returning_Visitor,0,0.6,Feb,False
39,0.0,0.022222222000000003,9,0,Returning_Visitor,0,0.0,Feb,False
40,0.0,0.001794872,46,1,Returning_Visitor,0,0.0,Feb,False
41,0.0,0.066666667,3,0,Returning_Visitor,0,0.6,Feb,False
42,0.0,0.006666666999999999,15,0,Returning_Visitor,0,0.0,Feb,False
43,0.0,0.05,2,0,Returning_Visitor,0,0.4,Feb,False
44,0.0,0.05,4,0,Returning_Visitor,0,0.0,Feb,False
45,0.0,0.006060606,22,0,Returning_Visitor,0,0.2,Feb,False
46,0.0,0.057142857000000005,14,0,Returning_Visitor,0,0.0,Feb,False
47,0.0,0.133333333,3,0,Returning_Visitor,0,0.2,Feb,False
48,0.0,0.0036363640000000004,11,0,Returning_Visitor,0,0.0,Feb,False
49,0.0,0.2,1,0,Returning_Visitor,0,0.6,Feb,False
50,0.0,0.2,1,0,Returning_Visitor,0,0.0,Feb,False
51,0.0,0.026111111,12,0,Returning_Visitor,0,0.2,Feb,False
52,0.0,0.1,2,0,Returning_Visitor,0,1.0,Feb,False
53,0.0,0.075,4,0,Returning_Visitor,0,0.0,Feb,False
54,0.0,0.025,4,0,Returning_Visitor,0,0.4,Feb,False
55,0.0,0.2,1,0,Returning_Visitor,0,0.2,Feb,False
56,0.0,0.2,1,0,Returning_Visitor,0,0.6,Feb,False
57,19.44707913,0.014736467,36,4,Returning_Visitor,2,0.2,Feb,False
58,0.0,0.05,4,0,Returning_Visitor,0,0.4,Feb,False
59,0.0,0.046568627,16,2,Returning_Visitor,0,0.6,Feb,False
60,0.0,0.016666667,6,0,Returning_Visitor,0,0.4,Feb,False
61,0.0,0.120833333,8,0,Returning_Visitor,0,0.0,Feb,False
62,38.30849268,0.019666667,42,12,Returning_Visitor,0,0.0,Feb,False
63,0.0,0.007142857,14,0,Returning_Visitor,0,0.0,Feb,False
64,0.0,0.2,1,0,Returning_Visitor,0,0.0,Feb,False
65,22.9160357,0.012643678,27,3,Returning_Visitor,0,0.8,Feb,True
66,0.0,0.015013034,90,4,Returning_Visitor,0,0.0,Feb,False
67,0.0,0.2,1,0,Returning_Visitor,0,0.6,Feb,False
68,0.0,0.0074074069999999995,18,0,Returning_Visitor,0,0.0,Feb,False
69,0.0,0.2,1,0,Returning_Visitor,0,0.2,Feb,False
70,0.0,0.2,1,0,Returning_Visitor,0,0.0,Feb,False
71,0.0,0.0525,20,0,Returning_Visitor,0,0.0,Feb,False
72,0.0,0.1,2,0,Returning_Visitor,0,0.4,Feb,False
73,0.0,0.0125,8,0,Returning_Visitor,0,0.0,Feb,False
74,0.0,0.066666667,3,0,Returning_Visitor,0,0.0,Feb,False
75,0.0,0.025,16,0,Returning_Visitor,0,0.0,Feb,False
76,11.43941195,0.014492753999999998,36,10,Returning_Visitor,0,0.0,Feb,True
77,0.0,0.05,2,0,Returning_Visitor,0,0.6,Feb,False
78,0.0,0.2,1,0,Returning_Visitor,0,1.0,Feb,False
79,0.0,0.2,1,0,Returning_Visitor,0,0.4,Feb,False
80,0.0,0.028571429,7,0,Returning_Visitor,0,0.0,Feb,False
81,0.0,0.016666667,4,0,Returning_Visitor,0,0.8,Feb,False
82,0.0,0.02,6,0,Returning_Visitor,0,0.0,Feb,False
83,0.0,0.058333333,12,0,Returning_Visitor,0,0.0,Feb,False
84,0.0,0.2,1,0,Returning_Visitor,0,0.8,Feb,False
85,0.0,0.2,1,0,Returning_Visitor,0,0.0,Feb,False
86,0.0,0.085714286,7,0,Returning_Visitor,0,0.0,Feb,False
87,0.0,0.066666667,3,0,Returning_Visitor,0,0.0,Feb,False
88,0.0,0.023809524,7,0,Returning_Visitor,0,0.4,Feb,False
89,0.0,0.007894736999999999,19,0,Returning_Visitor,0,0.0,Feb,False
90,0.0,0.011764706000000002,15,2,Returning_Visitor,0,0.4,Feb,False
91,0.0,0.2,1,0,Returning_Visitor,0,0.0,Feb,False
92,0.0,0.1,2,0,Returning_Visitor,0,0.0,Feb,False
93,0.0,0.015384615,13,0,New_Visitor,0,0.0,Feb,False
94,0.0,0.025925926000000002,27,0,Returning_Visitor,0,0.6,Feb,False
95,0.0,0.1,2,0,Returning_Visitor,0,0.2,Feb,False
96,0.0,0.066666667,6,0,Returning_Visitor,0,0.2,Feb,False
97,0.0,0.025,4,0,Returning_Visitor,0,0.6,Feb,False
98,0.0,0.08095238099999999,7,0,Returning_Visitor,1,0.6,Feb,False
99,0.0,0.031666667,16,0,Returning_Visitor,0,0.0,Feb,False
100,0.0,0.008947368,38,3,Returning_Visitor,0,0.4,Feb,False
101,17.53595893,0.026984127000000004,19,4,Returning_Visitor,0,1.0,Feb,True
