,MntMeatProducts,MntFishProducts,Income,MntFruits,MntSweetProducts,NumDealsPurchases,Dt_Customer,NumWebPurchases,NumCatalogPurchases,MntGoldProds,NumWebVisitsMonth,Response,Year_Birth,Teenhome,Education_2n_Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,AcceptedCmp5_0,AcceptedCmp5_1,AcceptedCmp1_0,AcceptedCmp1_1
0,1.6797023326128684,2.4621470460734924,0.23532677201008734,1.5515769812186038,1.4765001000700189,0.349413940993261,-1.531184939106103,1.409303937080072,2.5108902417547814,0.8432069073861739,0.6939037392619777,2.3888463379521307,-0.9853447295662224,0,0,0,1,0,0,1,0,1,0
2,-0.17703233923726175,1.3452742562284872,0.7736332663597382,0.570804023473423,-0.14690472354413533,-0.6858866249126978,0.2057733560258591,1.409303937080072,-0.22654074517991973,-0.03876606758181304,-0.5426470769248403,-0.41861210749003763,-0.3176427989998938,0,0,0,1,0,0,1,0,1,0
3,-0.6511865394471995,-0.5039741335148821,-1.0227324576789074,-0.5608570816171703,-0.5830433328733111,-0.1682363419597184,1.061881005763265,-0.7504503290950897,-0.9108984919135951,-0.7481791126647591,0.2817201338663717,-0.41861210749003763,1.2681492860951367,0,0,0,1,0,0,1,0,1,0
4,-0.21691446822688268,0.1551639063936456,0.24151879476512972,0.4199158761280105,-0.0015251871010767454,1.3847145068992197,0.9530118248718029,0.3294268039924911,0.11563812818691793,-0.5564458572369358,-0.13046347152923427,-0.41861210749003763,1.0177610621327633,0,0,0,0,0,1,1,0,1,0
7,-0.4916580234887158,-0.6321398634970958,-0.7507628388638853,-0.4099689342717579,-0.6315031783543306,-0.1682363419597184,-0.31382955277430047,-0.03053224037003586,-0.9108984919135951,-0.4030592528946772,1.1060873446575836,-0.41861210749003763,1.3516120274159276,0,0,0,0,0,1,1,0,1,0
8,-0.6334611487851458,-0.6321398634970958,-0.8747231395664431,-0.6614491798474453,-0.5830433328733111,-0.6858866249126978,-0.17032017796282783,-0.3904912847325628,-0.9108984919135951,-0.8056990892931061,1.5182709500531897,2.3888463379521307,0.4335218728872259,0,0,0,0,0,1,1,0,1,0
10,-0.7132254067643876,-0.6870680334894731,0.0,-0.5357090570596016,-0.6072732556138208,-0.6858866249126978,0.631352881328847,-1.1104093734576166,-0.9108984919135951,-0.8248724148358884,0.6939037392619777,-0.41861210749003763,1.1846865447743455,0,0,0,1,0,0,1,0,1,0
11,-0.6910686684368205,-0.48566474351742295,-1.7875870877953017,-0.25908078692634545,-0.6315031783543306,-0.6858866249126978,-1.1847829999059967,-0.7504503290950897,-0.9108984919135951,-0.5372725316941535,1.1060873446575836,-0.41861210749003763,0.600447355528808,0,0,1,0,0,0,1,0,1,0
12,1.3872333866889814,3.4325447159388247,0.4308748454677156,0.8725803181642479,2.0580182458422533,-0.6858866249126978,0.631352881328847,-0.3904912847325628,0.4578170015537556,-0.26884597409520095,-1.3670142877160523,-0.41861210749003763,-0.8184192469246402,0,0,0,1,0,0,1,0,1,0
14,-0.6644805824437399,-0.5772116935047185,-1.3951726392612298,-0.3093768360414829,-0.6315031783543306,-0.6858866249126978,-1.3530353703746196,-1.1104093734576166,-0.9108984919135951,-0.7481791126647591,1.1060873446575836,-0.41861210749003763,1.5185375100575098,0,0,0,1,0,0,1,0,1,0
15,-0.230208511223423,0.3931859763606139,1.220537515138183,-0.10819263958093302,0.9919016452598236,-0.6858866249126978,-1.1303484094602656,1.049344892717545,1.142174748287431,0.018753909046533936,-0.9548306823204462,2.3888463379521307,-1.9034348840949242,0,0,0,0,0,1,0,1,0,1
17,-0.5714222814679576,2.059340466129392,-0.578744451875418,-0.5357090570596016,-0.3649740282087232,-0.1682363419597184,-1.5509793356318233,-0.03053224037003586,-0.5687196185467573,-0.3071926251807656,0.6939037392619777,-0.41861210749003763,-1.9034348840949242,0,0,0,1,0,0,1,0,1,0
19,-0.655617887112713,-0.13778633356570003,-0.7364612637264326,-0.23393276236877672,-0.07421495532260604,-0.1682363419597184,-1.2342689912202975,-0.7504503290950897,-0.5687196185467573,-0.09628604421016002,0.2817201338663717,-0.41861210749003763,1.3516120274159276,0,1,0,0,0,0,1,0,1,0
20,-0.4163251131749873,0.5762798763352049,-0.6075073962859374,-0.6111531307323078,0.26500396304453067,-0.6858866249126978,-1.6647971156547154,-0.03053224037003586,-0.22654074517991973,0.07627388567488091,1.1060873446575836,-0.41861210749003763,1.1012238034535544,0,0,0,1,0,0,1,0,1,0
21,6.90426123025321,-0.668758643492014,-1.989447029609683,-0.6363011552898765,-0.6315031783543306,6.561217336429014,-0.9175586468087716,-1.4703684178201437,8.67010996235786,-0.8248724148358884,-1.779197893111658,-0.41861210749003763,0.8508355794911813,0,0,0,1,0,0,1,0,1,0
25,-0.6290298011196324,-0.41242718352758656,-1.3445977953394,-0.5608570816171703,-0.3649740282087232,-0.1682363419597184,-0.937353043334492,-0.7504503290950897,-0.5687196185467573,-0.5947925083225005,0.6939037392619777,-0.41861210749003763,0.01620816628327049,0,0,0,1,0,0,1,0,1,0
27,-0.726519449760928,-0.6321398634970958,0.0,-0.6363011552898765,5.716736579659227,-1.203536907865677,-0.6948716858944175,8.248525779968084,-0.9108984919135951,6.096698106108531,-1.779197893111658,-0.41861210749003763,1.4350747687367187,0,0,0,1,0,0,1,0,1,0
28,-0.5536968908059039,-0.32088023354029105,-0.5547753315333185,-0.6111531307323078,-0.14690472354413533,-0.1682363419597184,-0.20001177275140838,-0.7504503290950897,-0.5687196185467573,-0.6523124849508475,-0.9548306823204462,-0.41861210749003763,1.6854629926990918,0,0,0,1,0,0,1,0,1,0
29,2.8096959873187943,-0.3025708435428319,1.2931639497747445,1.8533532759094284,0.943441799778804,-0.6858866249126978,0.6659930752488576,0.689385848355018,2.1687113683879438,-0.8440457403786708,-1.3670142877160523,-0.41861210749003763,-0.3176427989998938,0,0,0,0,0,1,0,1,1,0
30,-0.6955000161023339,-0.6504492534945548,-1.6486061383450283,-0.5608570816171703,-0.6072732556138208,-0.1682363419597184,1.5616895180377042,-0.3904912847325628,-0.9108984919135951,-0.7673524382075414,-0.13046347152923427,-0.41861210749003763,1.6854629926990918,0,0,0,0,1,0,1,0,1,0
31,-0.544834195474877,-0.06454877357586361,-0.5443887127184087,-0.23393276236877672,-0.12267480080362557,-0.6858866249126978,-0.2989837553800102,-0.7504503290950897,0.7999958749205932,0.8623802329289563,-0.9548306823204462,-0.41861210749003763,-0.4845682816414759,0,0,0,0,1,0,1,0,1,0
34,1.3473512576993605,1.4917493762081602,0.6555454001409947,0.19358365510989187,0.9919016452598236,-0.6858866249126978,-0.6948716858944175,-0.3904912847325628,0.7999958749205932,-0.42223257843745954,0.6939037392619777,-0.41861210749003763,-1.9034348840949242,0,0,0,0,1,0,1,0,1,0
37,-0.6777746254402801,-0.41242718352758656,-1.139701764948353,-0.5860051061747391,-0.486123641911272,0.349413940993261,0.2651565456030202,-0.3904912847325628,-0.5687196185467573,-0.153806020838507,0.6939037392619777,-0.41861210749003763,0.600447355528808,0,1,0,0,0,0,1,0,1,0
39,0.17304412633829977,2.2424343661039834,-0.1318002545630697,-0.46026498338689537,0.5315331131901381,-0.1682363419597184,-0.7888950693915893,1.049344892717545,2.5108902417547814,-0.03876606758181304,0.2817201338663717,2.3888463379521307,-2.1538231080572974,0,0,0,0,0,1,1,0,1,0
41,-0.6113044104575786,-0.6321398634970958,-1.2658991835495066,-0.6363011552898765,-0.6557331010948404,-0.1682363419597184,-0.5958997032658158,-0.7504503290950897,-0.9108984919135951,-0.7098324615791944,1.1060873446575836,-0.41861210749003763,1.3516120274159276,0,0,0,0,1,0,1,0,1,0
43,-0.5182461094817964,-0.6321398634970958,0.0,-0.38482090971418914,-0.6072732556138208,-0.6858866249126978,0.5818668900145461,-1.1104093734576166,0.11563812818691793,-0.09628604421016002,-1.3670142877160523,-0.41861210749003763,-0.8184192469246402,0,0,0,0,0,1,1,0,1,0
44,-0.6955000161023339,-0.6321398634970958,-1.7875870877953017,-0.6363011552898765,-0.6072732556138208,0.349413940993261,0.413614519545923,-0.7504503290950897,-0.9108984919135951,-0.6139658338652828,-0.13046347152923427,-0.41861210749003763,0.5169846142080169,0,0,0,0,1,0,1,0,1,0
45,0.438924986269106,3.469163495933743,1.106324656708079,3.4628268475938278,0.07116458112045254,-0.6858866249126978,1.7447876859006175,-0.7504503290950897,0.4578170015537556,2.492112904065454,-1.779197893111658,-0.41861210749003763,0.600447355528808,0,0,0,1,0,0,1,0,1,0
46,-0.6777746254402801,-0.41242718352758656,-1.7875870877953017,-0.208784737811208,-0.12267480080362557,0.349413940993261,-1.204577396431717,-0.3904912847325628,-0.5687196185467573,0.11462053676044556,1.5182709500531897,2.3888463379521307,2.2697021819446292,0,1,0,0,0,0,1,0,1,0
47,-0.6733432777747667,-0.6321398634970958,-0.42022866934633346,-0.5105610325020329,-0.5345834873922916,-0.6858866249126978,-0.23465196667141902,-0.7504503290950897,-0.9108984919135951,-0.5947925083225005,1.9304545554487955,-0.41861210749003763,-0.06725457503752058,0,0,0,1,0,0,1,0,1,0
51,2.716637686343012,-0.19271450355807734,1.0744457266530867,0.26902772878259806,3.3906639965702903,-0.6858866249126978,-1.6499513182604253,0.689385848355018,2.1687113683879438,-0.2304993230096363,-0.9548306823204462,-0.41861210749003763,-0.40110554032068485,0,0,0,0,1,0,1,0,1,0
52,-0.6511865394471995,-0.13778633356570003,-0.6574430636653114,-0.5105610325020329,-0.6315031783543306,-0.1682363419597184,-0.937353043334492,-0.7504503290950897,-0.9108984919135951,-0.7865257637503237,0.6939037392619777,-0.41861210749003763,0.683910096849599,0,0,0,1,0,0,1,0,1,0
53,1.697427723274922,2.169196806114147,1.21182873474722,2.3563137670608034,0.31346380852555017,-0.6858866249126978,1.6408671041405856,-0.03053224037003586,2.1687113683879438,3.7767257154318696,-1.779197893111658,2.3888463379521307,0.683910096849599,0,0,0,1,0,0,1,0,0,1
55,1.1745286987443364,2.6086221660531654,1.2039189250343274,0.6211000725885605,2.2518576277663316,-0.6858866249126978,-1.1550914051174161,-0.3904912847325628,2.5108902417547814,2.798886112749971,-1.779197893111658,2.3888463379521307,-1.1522702122078046,0,0,0,0,1,0,0,1,1,0
56,1.3960960820200083,1.5283681562030782,0.7206615104036983,0.2187316796674606,2.2518576277663316,-0.6858866249126978,-0.49197912150578377,0.3294268039924911,0.7999958749205932,-0.07711271866737769,-0.9548306823204462,2.3888463379521307,-0.23418005767910272,0,0,0,1,0,0,1,0,1,0
57,-0.7043627114333607,-0.6504492534945548,-0.9711189518755865,-0.6614491798474453,-0.6315031783543306,-0.6858866249126978,1.442923138883382,-1.1104093734576166,-0.9108984919135951,-0.7481791126647591,-0.9548306823204462,-0.41861210749003763,1.602000251378301,0,0,0,1,0,0,1,0,1,0
58,-0.6423238441161726,-0.6504492534945548,0.0,-0.5860051061747391,-0.6072732556138208,-0.1682363419597184,-0.11588558751709684,-0.7504503290950897,-0.9108984919135951,-0.7290057871219767,0.2817201338663717,-0.41861210749003763,1.1012238034535544,0,0,0,1,0,0,1,0,1,0
60,1.6442515512887608,0.5762798763352049,0.9399789615339086,-0.007600541350658057,-0.34074410546821343,-0.6858866249126978,-0.03175940228278527,-0.3904912847325628,1.142174748287431,0.6898203030439153,-1.779197893111658,2.3888463379521307,1.1012238034535544,0,0,0,0,1,0,0,1,1,0
64,0.8864911004859631,1.4917493762081602,0.7358020047531245,0.3444718024553043,2.300317473247351,-0.6858866249126978,0.7352734630888789,1.049344892717545,0.4578170015537556,-0.26884597409520095,-0.5426470769248403,-0.41861210749003763,-1.736509401453342,0,0,0,1,0,0,1,0,1,0
65,-0.7132254067643876,-0.6321398634970958,-1.059684851539644,-0.5860051061747391,-0.5103535646517818,-0.6858866249126978,-0.2494977640657093,-1.1104093734576166,-0.5687196185467573,-0.5564458572369358,0.6939037392619777,2.3888463379521307,0.18313364892485265,0,0,0,1,0,0,1,0,1,0
70,1.2986064333787128,2.773406676030297,0.5889911426577652,0.24387970422502936,0.7980622633357455,0.349413940993261,-1.4965447451860925,-0.03053224037003586,1.8265324950211062,-0.6139658338652828,-0.9548306823204462,-0.41861210749003763,-1.2357329535285957,0,0,0,0,1,0,1,0,1,0
71,-0.5492655431403904,-0.37580840353266837,0.0,-0.5860051061747391,-0.5588134101328013,0.349413940993261,-1.4816989477918021,-0.3904912847325628,-0.9108984919135951,-0.5180992061513712,1.1060873446575836,-0.41861210749003763,0.35005913156643476,0,1,0,0,0,0,1,0,1,0
74,-0.6822059731057936,-0.6138304734996367,-0.9553792295176079,-0.4099689342717579,-0.29228425998719393,-0.6858866249126978,1.4528203371462423,-0.7504503290950897,-0.5687196185467573,-0.6714858104936298,-1.3670142877160523,-0.41861210749003763,-1.4026584361701777,0,0,0,1,0,0,1,0,1,0
75,-0.7132254067643876,-0.6504492534945548,-0.47943239659131914,-0.6363011552898765,-0.6315031783543306,-0.6858866249126978,-1.0066334311745133,-1.1104093734576166,-0.9108984919135951,-0.8248724148358884,0.2817201338663717,-0.41861210749003763,0.683910096849599,0,0,0,1,0,0,1,0,1,0
76,3.3591830978424606,1.0889427962640599,0.918966032700668,2.1299815460426847,-0.21959449176566462,-0.6858866249126978,-1.5707737321575437,1.049344892717545,1.142174748287431,-0.49892588060858883,-0.13046347152923427,2.3888463379521307,0.2665963902456437,0,0,0,0,1,0,1,0,1,0
77,2.712206338677499,1.821318396162424,0.9418964911612765,1.9790933986972723,1.888408786658685,-1.203536907865677,-1.3431381721117595,0.3294268039924911,1.8265324950211062,0.13379386230322787,-0.5426470769248403,2.3888463379521307,0.600447355528808,0,0,0,1,0,0,1,0,1,0
78,-0.7176567544299011,-0.6870680334894731,-1.0355159885280272,-0.6614491798474453,-0.5830433328733111,-0.6858866249126978,0.2750537438658804,-1.4703684178201437,-0.9108984919135951,-0.6714858104936298,-0.9548306823204462,-0.41861210749003763,0.600447355528808,0,1,0,0,0,0,1,0,1,0
79,-0.4562072421646083,-0.6870680334894731,0.15175443908396716,-0.6614491798474453,-0.6557331010948404,-0.1682363419597184,-0.937353043334492,2.129222025805126,-0.5687196185467573,0.13379386230322787,1.1060873446575836,2.3888463379521307,-0.3176427989998938,0,0,0,1,0,0,1,0,1,0
