,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.31717784430961626,-0.3088213656157659,2,1,1,1,1,1,0,0
1,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.66851798144781,-0.5909025573961064,-0.45768299649364935,1.171472500128347,-0.31717784430961626,-0.3088213656157659,2,2,2,1,2,1,0,0
2,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.31717784430961626,-0.3088213656157659,2,4,1,9,3,1,0,0
3,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.66851798144781,-0.6229539787319184,0.5735349511628588,1.9946097379805605,-0.31717784430961626,-0.3088213656157659,2,3,2,2,4,1,0,0
4,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.48863638737375986,-0.29643012387173384,-0.045195817431046136,0.14255095281308014,-0.31717784430961626,-0.3088213656157659,2,3,3,1,4,1,1,0
5,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.2862695940404534,-0.5437573552885533,-0.1320352170365335,-0.3809354383438791,-0.31717784430961626,-0.3088213656157659,2,2,2,1,3,1,0,0
6,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.31717784430961626,1.7021463861890365,2,2,4,3,3,1,0,0
7,-0.39593771128091604,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.7134883799663226,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.31717784430961626,-0.3088213656157659,2,1,2,1,5,1,1,0
8,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.66851798144781,-0.6050121504842308,-0.45768299649364935,1.171472500128347,-0.31717784430961626,3.713114137993839,2,2,2,2,3,1,0,0
9,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6460327821885538,-0.23868530771478055,-0.45768299649364935,-0.4290721336017195,-0.31717784430961626,1.7021463861890365,2,2,4,1,2,1,0,0
10,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6460327821885538,-0.4179293976861378,-0.45768299649364935,0.485524808777646,-0.31717784430961626,-0.3088213656157659,2,1,1,3,3,1,0,0
11,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.3537251918182222,-0.4112665342834124,-0.07097626612245886,-0.35476113524877595,-0.31717784430961626,1.7021463861890365,2,1,1,4,3,1,0,0
12,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.5560919851515287,-0.4777645239302206,-0.45768299649364935,-0.29841541578842107,-0.31717784430961626,-0.3088213656157659,2,1,1,1,3,1,0,0
13,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.578577184410785,-0.5731349216555055,-0.45768299649364935,0.485524808777646,-0.31717784430961626,-0.3088213656157659,2,2,5,1,3,1,0,0
14,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.66851798144781,-0.588812247308977,-0.45768299649364935,1.171472500128347,-0.31717784430961626,-0.3088213656157659,2,3,2,3,3,1,0,0
15,-0.09488245843843363,-0.15737005968875642,-0.39647790101721353,-0.24493050612963665,-0.19632879700342828,0.24746078432326835,-0.2858133454256843,-0.5506821410239723,-0.31717784430961626,-0.3088213656157659,2,1,1,9,3,1,0,0
16,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.31717784430961626,-0.3088213656157659,2,1,1,4,3,1,0,0
17,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.42118078959599103,-0.44930146822638767,-0.45768299649364935,-0.7280749655064747,-0.31717784430961626,-0.3088213656157659,2,1,1,1,4,1,1,0
18,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.66851798144781,-0.6076250380931427,-0.45768299649364935,1.171472500128347,-0.31717784430961626,-0.3088213656157659,2,2,2,1,3,1,0,0
19,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.26378439478119714,0.9335431700709267,-0.45768299649364935,-0.6805862850391334,-0.31717784430961626,-0.3088213656157659,2,2,4,4,4,1,0,0
20,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.5336067858922724,-0.5531898795567253,-0.45768299649364935,-0.7148836768091194,-0.31717784430961626,4.71859801389624,2,2,2,5,1,1,1,0
21,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.66851798144781,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.31717784430961626,-0.3088213656157659,2,3,3,1,3,1,0,0
22,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6460327821885538,-0.5694768790030288,-0.45768299649364935,-0.20042290315148586,-0.31717784430961626,-0.3088213656157659,2,3,2,1,5,1,0,0
23,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.66851798144781,-0.6165088559634432,-0.45768299649364935,1.171472500128347,-0.31717784430961626,3.713114137993839,2,2,4,1,3,1,0,0
24,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.31717784430961626,-0.3088213656157659,2,2,2,4,1,1,1,0
25,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6010623836700413,-0.5428254253921273,-0.45768299649364935,-0.06323335664997329,-0.31717784430961626,-0.3088213656157659,2,1,1,9,3,1,0,0
26,0.5072280472465313,-0.09174878468624324,-0.39647790101721353,-0.24493050612963665,0.006037996329878177,-0.030989775123083596,-0.3987562536812262,-0.6903855280714546,-0.31717784430961626,-0.3088213656157659,2,2,2,1,3,1,0,0
27,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6235475829292975,-0.5846316271347178,0.5735349511628588,1.171472500128347,-0.31717784430961626,-0.3088213656157659,2,1,1,1,3,1,0,0
28,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6235475829292975,-0.5914251349178888,-0.45768299649364935,0.14255095281308014,-0.31717784430961626,0.6966625102866353,2,2,6,1,3,1,0,0
29,-0.39593771128091604,-0.4232493635782495,0.3908586297513874,-0.24493050612963665,0.2983455867002097,0.20276205381088722,0.4390282650282305,0.1594511126983189,2.600782488527669,1.7021463861890365,2,3,2,1,1,1,0,0
30,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.66851798144781,-0.6060573055277956,-0.45768299649364935,1.171472500128347,-0.31717784430961626,-0.3088213656157659,2,1,1,6,3,1,0,0
31,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6460327821885538,-0.5835864720911531,-0.45768299649364935,0.485524808777646,-0.31717784430961626,-0.3088213656157659,2,1,2,6,6,1,1,0
32,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.5336067858922724,-0.5148675279767698,-0.45768299649364935,-0.3719098208445533,-0.31717784430961626,-0.3088213656157659,2,2,2,1,1,1,0,0
33,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.48863638737375986,-0.5283674472720621,0.3672913616315571,0.7599038812022403,-0.31717784430961626,-0.3088213656157659,2,1,1,3,1,1,0,0
34,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.39869559033673474,-0.42550677175198237,-0.1630493030558925,-0.29841541578842107,-0.31717784430961626,-0.3088213656157659,2,2,2,1,1,1,0,0
35,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,0.45574198151500367,0.4658761032570789,-0.14038517437793877,-0.46754676164792686,-0.31717784430961626,-0.3088213656157659,2,2,2,7,1,1,0,0
36,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.5336067858922724,-0.4215874403386145,0.057925977334604695,0.27116614622748847,-0.31717784430961626,-0.3088213656157659,2,3,2,1,4,1,1,0
37,-0.09488245843843363,-0.3553652859894428,-0.39647790101721353,-0.24493050612963665,-0.6010623836700413,-0.46861941729902895,-0.45768299649364935,-0.29841541578842107,-0.31717784430961626,3.713114137993839,2,2,2,8,4,1,0,0
38,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.5560919851515287,-0.5914251349178888,0.13158441100622334,0.5835173214145811,-0.31717784430961626,2.7076302620914374,2,2,2,1,3,1,0,0
39,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.5111215866330161,-0.3724651532910705,-0.45768299649364935,-0.4290721336017195,-0.31717784430961626,-0.3088213656157659,2,2,5,1,6,1,0,0
40,-0.39593771128091604,-0.40627834418104786,-0.39647790101721353,-0.24493050612963665,0.320830785959466,1.5100649438354254,-0.45768299649364935,-0.8494349449927298,-0.31717784430961626,-0.3088213656157659,2,2,2,8,4,1,0,0
41,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.6460327821885538,-0.6128508133109666,-0.45768299649364935,0.485524808777646,-0.31717784430961626,2.7076302620914374,2,1,1,3,2,1,0,0
42,-0.6969929641233985,-0.4571914023726529,-0.39647790101721353,-0.24493050612963665,-0.3762103910774785,-0.46226139076659073,-0.45768299649364935,-0.7491810480006742,-0.31717784430961626,-0.3088213656157659,2,1,1,4,4,1,0,0
